iter	Passed	Remaining
0	62	15529
1	63	7858
2	63	5260
3	64	3944
4	64	3155
5	64	2626
6	64	2251
7	65	1978
8	65	1765
9	66	1601
10	66	1454
11	67	1344
12	68	1243
13	68	1154
14	68	1075
15	69	1010
16	69	954
17	70	903
18	70	855
19	70	814
20	71	774
21	71	739
22	72	716
23	72	686
24	73	663
25	73	636
26	74	613
27	74	590
28	74	570
29	75	551
30	75	533
31	75	516
32	76	500
33	76	487
34	76	471
35	77	458
36	77	445
37	77	432
38	77	420
39	78	409
40	78	398
41	78	388
42	78	378
43	78	369
44	79	361
45	79	353
46	80	346
47	80	338
48	80	331
49	81	326
50	81	319
51	82	313
52	82	307
53	83	302
54	83	296
55	83	290
56	84	285
57	84	280
58	84	274
59	85	270
60	85	265
61	85	260
62	86	256
63	86	251
64	87	247
65	87	243
66	87	239
67	87	235
68	88	231
69	88	227
70	89	225
71	89	221
72	89	218
73	90	215
74	91	214
75	92	211
76	92	207
77	92	204
78	92	201
79	93	198
80	93	195
81	94	192
82	94	190
83	94	187
84	94	184
85	95	181
86	95	179
87	95	176
88	95	173
89	96	170
90	96	168
91	96	165
92	97	163
93	97	161
94	97	159
95	98	157
96	98	156
97	99	153
98	99	151
99	99	149
100	100	147
101	100	145
102	100	143
103	101	141
104	101	140
105	102	138
106	102	136
107	102	134
108	102	132
109	103	131
110	103	130
111	103	128
112	104	126
113	105	125
114	105	123
115	105	122
116	105	120
117	106	118
118	106	117
119	107	116
120	107	114
121	108	113
122	109	112
123	109	111
124	110	110
125	111	109
126	112	108
127	112	106
128	112	105
129	113	104
130	113	103
131	114	101
132	114	100
133	115	99
134	115	98
135	116	97
136	116	96
137	117	95
138	117	94
139	118	92
140	118	91
141	118	90
142	119	89
143	119	88
144	120	87
145	120	86
146	121	85
147	121	83
148	122	82
149	122	81
150	123	80
151	123	79
152	124	78
153	124	77
154	125	76
155	125	75
156	126	74
157	126	73
158	126	72
159	127	71
160	128	70
161	128	69
162	129	69
163	129	68
164	130	67
165	131	66
166	131	65
167	132	64
168	132	63
169	133	62
170	134	62
171	135	61
172	136	60
173	136	59
174	137	58
175	138	58
176	138	57
177	138	56
178	139	55
179	140	54
180	140	53
181	140	52
182	141	51
183	141	50
184	142	50
185	142	49
186	143	48
187	143	47
188	144	46
189	144	45
190	145	45
191	146	44
192	146	43
193	147	42
194	148	41
195	149	41
196	149	40
197	150	39
198	151	38
199	152	38
200	153	37
201	154	36
202	155	35
203	155	35
204	156	34
205	157	33
206	157	32
207	158	32
208	159	31
209	160	30
210	161	29
211	162	29
212	163	28
213	164	27
214	165	26
215	166	26
216	167	25
217	168	24
218	169	23
219	169	23
220	170	22
221	171	21
222	171	20
223	172	20
224	173	19
225	174	18
226	174	17
227	175	16
228	176	16
229	176	15
230	177	14
231	177	13
232	178	13
233	179	12
234	179	11
235	180	10
236	180	9
237	181	9
238	182	8
239	182	7
240	183	6
241	184	6
242	184	5
243	185	4
244	186	3
245	186	3
246	187	2
247	187	1
248	188	0
249	189	0
